class,filename,width,height,format,mode,status
bear,bear_001.jpg,224,224,JPEG,RGB,valid
bear,bear_002.jpg,224,224,JPEG,RGB,valid
bear,bear_003.jpg,224,224,JPEG,RGB,valid
bear,bear_004.jpg,224,224,JPEG,RGB,valid
bear,bear_005.jpg,224,224,JPEG,RGB,valid
bear,bear_006.jpg,224,224,JPEG,RGB,valid
bear,bear_007.jpg,224,224,JPEG,RGB,valid
bear,bear_008.jpg,224,224,JPEG,RGB,valid
bear,bear_009.jpg,224,224,JPEG,RGB,valid
bear,bear_010.jpg,224,224,JPEG,RGB,valid
bear,bear_011.jpg,224,224,JPEG,RGB,valid
bear,bear_012.jpg,224,224,JPEG,RGB,valid
bear,bear_013.jpg,224,224,JPEG,RGB,valid
bear,bear_014.jpg,224,224,JPEG,RGB,valid
bear,bear_015.jpg,224,224,JPEG,RGB,valid
bear,bear_016.jpg,224,224,JPEG,RGB,valid
bear,bear_017.jpg,224,224,JPEG,RGB,valid
bear,bear_018.jpg,224,224,JPEG,RGB,valid
bear,bear_019.jpg,224,224,JPEG,RGB,valid
bear,bear_020.jpg,224,224,JPEG,RGB,valid
bear,bear_021.jpg,224,224,JPEG,RGB,valid
bear,bear_022.jpg,224,224,JPEG,RGB,valid
bear,bear_023.jpg,224,224,JPEG,RGB,valid
bear,bear_024.jpg,224,224,JPEG,RGB,valid
bear,bear_025.jpg,224,224,JPEG,RGB,valid
bear,bear_026.jpg,224,224,JPEG,RGB,valid
bear,bear_027.jpg,224,224,JPEG,RGB,valid
bear,bear_028.jpg,224,224,JPEG,RGB,valid
bear,bear_029.jpg,224,224,JPEG,RGB,valid
bear,bear_030.jpg,224,224,JPEG,RGB,valid
deer,deer_001.jpg,224,224,JPEG,RGB,valid
deer,deer_002.jpg,224,224,JPEG,RGB,valid
deer,deer_003.jpg,224,224,JPEG,RGB,valid
deer,deer_004.jpg,224,224,JPEG,RGB,valid
deer,deer_005.jpg,224,224,JPEG,RGB,valid
deer,deer_006.jpg,224,224,JPEG,RGB,valid
deer,deer_007.jpg,224,224,JPEG,RGB,valid
deer,deer_008.jpg,224,224,JPEG,RGB,valid
deer,deer_009.jpg,224,224,JPEG,RGB,valid
deer,deer_010.jpg,224,224,JPEG,RGB,valid
deer,deer_011.jpg,224,224,JPEG,RGB,valid
deer,deer_012.jpg,224,224,JPEG,RGB,valid
deer,deer_013.jpg,224,224,JPEG,RGB,valid
deer,deer_014.jpg,224,224,JPEG,RGB,valid
deer,deer_015.jpg,224,224,JPEG,RGB,valid
deer,deer_016.jpg,224,224,JPEG,RGB,valid
deer,deer_017.jpg,224,224,JPEG,RGB,valid
deer,deer_018.jpg,224,224,JPEG,RGB,valid
deer,deer_019.jpg,224,224,JPEG,RGB,valid
deer,deer_020.jpg,224,224,JPEG,RGB,valid
deer,deer_021.jpg,224,224,JPEG,RGB,valid
deer,deer_022.jpg,224,224,JPEG,RGB,valid
deer,deer_023.jpg,224,224,JPEG,RGB,valid
deer,deer_024.jpg,224,224,JPEG,RGB,valid
deer,deer_025.jpg,224,224,JPEG,RGB,valid
deer,deer_026.jpg,224,224,JPEG,RGB,valid
deer,deer_027.jpg,224,224,JPEG,RGB,valid
deer,deer_028.jpg,224,224,JPEG,RGB,valid
deer,deer_029.jpg,224,224,JPEG,RGB,valid
deer,deer_030.jpg,224,224,JPEG,RGB,valid
elephant,elephant_001.jpg,224,224,JPEG,RGB,valid
elephant,elephant_002.jpg,224,224,JPEG,RGB,valid
elephant,elephant_003.jpg,224,224,JPEG,RGB,valid
elephant,elephant_004.jpg,224,224,JPEG,RGB,valid
elephant,elephant_005.jpg,224,224,JPEG,RGB,valid
elephant,elephant_006.jpg,224,224,JPEG,RGB,valid
elephant,elephant_007.jpg,224,224,JPEG,RGB,valid
elephant,elephant_008.jpg,224,224,JPEG,RGB,valid
elephant,elephant_009.jpg,224,224,JPEG,RGB,valid
elephant,elephant_010.jpg,224,224,JPEG,RGB,valid
elephant,elephant_011.jpg,224,224,JPEG,RGB,valid
elephant,elephant_012.jpg,224,224,JPEG,RGB,valid
elephant,elephant_013.jpg,224,224,JPEG,RGB,valid
elephant,elephant_014.jpg,224,224,JPEG,RGB,valid
elephant,elephant_015.jpg,224,224,JPEG,RGB,valid
elephant,elephant_016.jpg,224,224,JPEG,RGB,valid
elephant,elephant_017.jpg,224,224,JPEG,RGB,valid
elephant,elephant_018.jpg,224,224,JPEG,RGB,valid
elephant,elephant_019.jpg,224,224,JPEG,RGB,valid
elephant,elephant_020.jpg,224,224,JPEG,RGB,valid
elephant,elephant_021.jpg,224,224,JPEG,RGB,valid
elephant,elephant_022.jpg,224,224,JPEG,RGB,valid
elephant,elephant_023.jpg,224,224,JPEG,RGB,valid
elephant,elephant_024.jpg,224,224,JPEG,RGB,valid
elephant,elephant_025.jpg,224,224,JPEG,RGB,valid
elephant,elephant_026.jpg,224,224,JPEG,RGB,valid
elephant,elephant_027.jpg,224,224,JPEG,RGB,valid
elephant,elephant_028.jpg,224,224,JPEG,RGB,valid
elephant,elephant_029.jpg,224,224,JPEG,RGB,valid
elephant,elephant_030.jpg,224,224,JPEG,RGB,valid
leopard,leopard_001.jpg,224,224,JPEG,RGB,valid
leopard,leopard_002.jpg,224,224,JPEG,RGB,valid
leopard,leopard_003.jpg,224,224,JPEG,RGB,valid
leopard,leopard_004.jpg,224,224,JPEG,RGB,valid
leopard,leopard_005.jpg,224,224,JPEG,RGB,valid
leopard,leopard_006.jpg,224,224,JPEG,RGB,valid
leopard,leopard_007.jpg,224,224,JPEG,RGB,valid
leopard,leopard_008.jpg,224,224,JPEG,RGB,valid
leopard,leopard_009.jpg,224,224,JPEG,RGB,valid
leopard,leopard_010.jpg,224,224,JPEG,RGB,valid
leopard,leopard_011.jpg,224,224,JPEG,RGB,valid
leopard,leopard_012.jpg,224,224,JPEG,RGB,valid
leopard,leopard_013.jpg,224,224,JPEG,RGB,valid
leopard,leopard_014.jpg,224,224,JPEG,RGB,valid
leopard,leopard_015.jpg,224,224,JPEG,RGB,valid
leopard,leopard_016.jpg,224,224,JPEG,RGB,valid
leopard,leopard_017.jpg,224,224,JPEG,RGB,valid
leopard,leopard_018.jpg,224,224,JPEG,RGB,valid
leopard,leopard_019.jpg,224,224,JPEG,RGB,valid
leopard,leopard_020.jpg,224,224,JPEG,RGB,valid
leopard,leopard_021.jpg,224,224,JPEG,RGB,valid
leopard,leopard_022.jpg,224,224,JPEG,RGB,valid
leopard,leopard_023.jpg,224,224,JPEG,RGB,valid
leopard,leopard_024.jpg,224,224,JPEG,RGB,valid
leopard,leopard_025.jpg,224,224,JPEG,RGB,valid
leopard,leopard_026.jpg,224,224,JPEG,RGB,valid
leopard,leopard_027.jpg,224,224,JPEG,RGB,valid
